Indiv,Gland,Day,Bout,Species,Site,Group,Sex,Repro,Value
H,AG,D01,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,SP,D01,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D01,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D02,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,SP,D02,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D02,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D03,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,SP,D03,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D03,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D04,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,SP,D04,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D04,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D05,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,SP,D05,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D05,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D06,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,SP,D06,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D06,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D07,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,SP,D07,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D07,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D08,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,SP,D08,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D08,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D09,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,SP,D09,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D09,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D10,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,SP,D10,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D10,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D01,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,SP,D01,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D01,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D02,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,SP,D02,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D02,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D03,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,SP,D03,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D03,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D04,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,2
H,SP,D04,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D04,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D05,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,3
H,SP,D05,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D05,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D06,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,SP,D06,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D06,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D07,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,SP,D07,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D07,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D08,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,SP,D08,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D08,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D09,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,SP,D09,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D09,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D10,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,SP,D10,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D10,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D01,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,SP,D01,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D01,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D02,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,SP,D02,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D02,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D03,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,SP,D03,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D03,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D04,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,SP,D04,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D04,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D05,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,SP,D05,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D05,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D06,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,SP,D06,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D06,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D07,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,SP,D07,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D07,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D08,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,SP,D08,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D08,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D09,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,SP,D09,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D09,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D10,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,2
H,SP,D10,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D10,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D01,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,3
H,SP,D01,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D01,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D02,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,2
H,SP,D02,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D02,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D03,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,SP,D03,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D03,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D04,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,2
H,SP,D04,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D04,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D05,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,SP,D05,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D05,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D06,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,SP,D06,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D06,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D07,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,SP,D07,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D07,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D08,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,SP,D08,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,ST,D08,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D09,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
