Indiv,Gland,Day,Bout,Species,Site,Group,Sex,Repro,Value
H,AG,D01,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,AG,D02,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,AG,D03,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,AG,D04,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,AG,D05,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,AG,D06,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D07,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D08,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D09,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,AG,D10,H01,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D01,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,AG,D02,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,AG,D03,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D04,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,2
H,AG,D05,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,3
H,AG,D06,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,AG,D07,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D08,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D09,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D10,H02,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D01,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,AG,D02,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,AG,D03,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,AG,D04,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D05,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D06,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D07,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,AG,D08,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D09,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,AG,D10,H03,Emperor,TZ,Emperor.TZ,Female,Reproductive,2
H,AG,D01,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,3
H,AG,D02,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,2
H,AG,D03,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D04,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,2
H,AG,D05,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,AG,D06,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,AG,D07,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D08,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D09,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D10,H04,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D01,H05,Emperor,TZ,Emperor.TZ,Female,Reproductive,3
H,AG,D02,H05,Emperor,TZ,Emperor.TZ,Female,Reproductive,5
H,AG,D03,H05,Emperor,TZ,Emperor.TZ,Female,Reproductive,0
H,AG,D04,H05,Emperor,TZ,Emperor.TZ,Female,Reproductive,3
H,AG,D05,H05,Emperor,TZ,Emperor.TZ,Female,Reproductive,2
H,AG,D06,H05,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,AG,D07,H05,Emperor,TZ,Emperor.TZ,Female,Reproductive,2
H,AG,D08,H05,Emperor,TZ,Emperor.TZ,Female,Reproductive,2
H,AG,D09,H05,Emperor,TZ,Emperor.TZ,Female,Reproductive,1
H,AG,D10,H05,Emperor,TZ,Emperor.TZ,Female,Reproductive,2
I,AG,D01,H01,Emperor,TZ,Emperor.TZ,Male,Reproductive,0
I,AG,D02,H01,Emperor,TZ,Emperor.TZ,Male,Reproductive,0
I,AG,D03,H01,Emperor,TZ,Emperor.TZ,Male,Reproductive,0
I,AG,D04,H01,Emperor,TZ,Emperor.TZ,Male,Reproductive,1
I,AG,D05,H01,Emperor,TZ,Emperor.TZ,Male,Reproductive,0
I,AG,D06,H01,Emperor,TZ,Emperor.TZ,Male,Reproductive,0
I,AG,D07,H01,Emperor,TZ,Emperor.TZ,Male,Reproductive,0
I,AG,D08,H01,Emperor,TZ,Emperor.TZ,Male,Reproductive,1
I,AG,D09,H01,Emperor,TZ,Emperor.TZ,Male,Reproductive,1
I,AG,D10,H01,Emperor,TZ,Emperor.TZ,Male,Reproductive,1
I,AG,D01,H02,Emperor,TZ,Emperor.TZ,Male,Reproductive,1
I,AG,D02,H02,Emperor,TZ,Emperor.TZ,Male,Reproductive,0
I,AG,D03,H02,Emperor,TZ,Emperor.TZ,Male,Reproductive,1
I,AG,D04,H02,Emperor,TZ,Emperor.TZ,Male,Reproductive,0
I,AG,D05,H02,Emperor,TZ,Emperor.TZ,Male,Reproductive,0
