factor;rank;comp;name;average;sd;ratio;ava;avb;cumsum
Repro. status;1;B056;#20_p-Cresol;0.0289978;0.024038;1.2064;1.48595;1.26864;0.04381
Repro. status;2;B090;#28_Cyclodecane;0.02339;0.019147;1.2216;1.17505;1.24914;0.07916
Repro. status;3;B088;#27_4-Methoxybenzaldehyde;0.0231231;0.025729;0.8987;3.3667;2.884;0.11409
Repro. status;4;B105;#34_Diethylene glycol dibutyl ether;0.0223774;0.024604;0.9095;0.19065;1.07943;0.14791
Repro. status;5;B035;#10_Benzaldehyde;0.0208783;0.016843;1.2396;1.2935;1.62707;0.17945
Repro. status;6;B017;#05_2-Furanmethanol;0.0193768;0.017424;1.1121;0.75155;0.97093;0.20873
Repro. status;7;B058;#21_2-Methoxyphenol;0.0193025;0.016923;1.1406;0.81925;0.83893;0.2379
Repro. status;8;B070;#25_trans-1-Methyl-4-(1-methylethyl)cyclohexanol;0.0186361;0.017145;1.087;0.58205;0.89829;0.26605
Repro. status;9;B112;#36_Cyclododecane;0.0177361;0.016316;1.087;0.4487;0.89979;0.29285
Repro. status;10;B012;#02_Hexanal;0.0160209;0.013692;1.1701;1.0318;0.953;0.31706
Repro. status;11;B054;#18_Acetophenone;0.0159416;0.014103;1.1303;0.7607;0.66857;0.34115
Repro. status;12;B027;#07_Heptanal;0.0143525;0.012838;1.118;0.74845;0.6255;0.36283
Repro. status;13;B121;#40_Branched C16 alkane 2;0.0141768;0.014429;0.9825;0.50705;0.57193;0.38425
Repro. status;14;B041;#13_1,2,4-Trimethylbenzene;0.0140323;0.019939;0.7038;0.2584;0.61336;0.40546
Repro. status;15;B093;#29_Branched C13 alkane;0.0127325;0.014521;0.8768;0.46085;0.45957;0.4247
Repro. status;16;B038;#12_Unknown 1;0.0124511;0.011086;1.1232;0.40785;0.63336;0.44351
Repro. status;17;B118;#37_Myristicin;0.0122303;0.010802;1.1322;0.1836;0.61757;0.46199
Repro. status;18;B016;#04_3-Methylbutanoic acid;0.0120498;0.019288;0.6247;0.5774;0.16071;0.4802
Repro. status;19;B108;#35_6,10-Dimethyl-5,9-undecadien-2-one;0.0119191;0.015522;0.7679;0.5266;0.18693;0.4982
Repro. status;20;B050;#17_N,N-Dimethylbenzene;0.0116707;0.013496;0.8647;0.124;0.57929;0.51584
Repro. status;21;B032;#09_alpha-Pinene;0.0110193;0.01172;0.9402;0.28805;0.42886;0.53249
Repro. status;22;B007;#01_Propane-1,2-diol;0.0109781;0.026372;0.4163;0.0782;0.47407;0.54908
Repro. status;23;B044;#14_1,2,3-Trimethylbenzene;0.0106783;0.015479;0.6899;0.0601;0.55107;0.56521
Repro. status;24;B059;#22_3,7-Dimethyloctan-3-ol;0.0102753;0.018343;0.5602;0.5386;0;0.58074
Repro. status;25;B075;#26_1-Nonanol;0.0101951;0.01149;0.8873;0.37875;0.36;0.59614
Repro. status;26;B103;#32_Longifolene;0.0096927;0.016116;0.6014;0.1964;0.3825;0.61079
Repro. status;27;B067;#23_Dimethyl pentanedioate;0.0094398;0.015722;0.6004;0.4481;0.14721;0.62505
Repro. status;28;B068;#24_Branched C9 alcohol;0.0087061;0.014596;0.5965;0.3156;0.23871;0.6382
Repro. status;29;B055;#19_Octan-1-ol;0.0077162;0.012403;0.6221;0.25935;0.18929;0.64986
Repro. status;30;B120;#39_Branched C16 alkane 1;0.0076658;0.013555;0.5656;0.12285;0.30764;0.66145
Repro. status;31;B049;#16_Benzeneacetaldehyde;0.0076454;0.008201;0.9322;0.18855;0.35443;0.673
Repro. status;32;B125;#41_Branched C18 alkane;0.0073954;0.014386;0.5141;0;0.34964;0.68417
Repro. status;33;B102;#31_Dodecanal/Tridecanal;0.007123;0.013539;0.5261;0.23095;0.197;0.69494
Repro. status;34;B030;#08_Anisole;0.0069766;0.011843;0.5891;0.27585;0.08779;0.70548
Repro. status;35;B024;#06_Methylcycloheptanone;0.0067196;0.01151;0.5838;0.1894;0.2235;0.71563
Repro. status;36;B119;#38_2-Methyldecyl propanoate;0.0066161;0.011808;0.5603;0.20395;0.17579;0.72563
Repro. status;37;B046;#15_Butanamide;0.0054262;0.008;0.6783;0.112;0.221;0.73383
Repro. status;39;B014;#03_Furfural;0.0049173;0.006897;0.7129;0.1694;0.14043;0.74916
Repro. status;40;B036;#11_1,3,5-Trimethylbenzene;0.0048461;0.009628;0.5033;0;0.26843;0.75648
Repro. status;41;B097;#30_Glycerol 1,2-diacetate;0.0046342;0.014751;0.3142;0.19335;0;0.76348
Repro. status;47;B104;#33_Unknown 2;0.0038789;0.010073;0.3851;0.14295;0.05086;0.80028
Sex;1;B088;#27_4-Methoxybenzaldehyde;0.0301229;0.024652;1.2219;3.45448;2.372;0.04344
