factor,rank,comp,average,sd,ratio,ava,avb,cumsum
Species,1,B056,0.0438532,0.026444,1.6583,2.55967,0.47816,0.06264
Species,2,B058,0.0245224,0.020019,1.2249,1.37967,0.39132,0.09767
Species,3,B090,0.0241749,0.020302,1.1908,1.34773,1.09332,0.1322
Species,4,B070,0.0241549,0.015322,1.5765,0,1.27458,0.16671
Species,5,B088,0.0210736,0.021643,0.9737,3.2956,3.06716,0.19681
Species,6,B105,0.0203084,0.023073,0.8802,0,0.99605,0.22582
Species,7,B035,0.0200263,0.016448,1.2176,1.375,1.47495,0.25442
Species,8,B017,0.0195502,0.017395,1.1239,0.927,0.77468,0.28235
Species,9,B012,0.0178677,0.015223,1.1737,0.71853,1.22105,0.30787
Species,10,B041,0.0175392,0.021401,0.8195,0.917,0,0.33292
Species,11,B054,0.0174467,0.01416,1.2322,0.4036,0.97474,0.35785
Species,12,B112,0.0171926,0.0162,1.0613,0.30733,0.89268,0.3824
Species,13,B016,0.015097,0.021325,0.708,0.79547,0.09821,0.40397
Species,14,B027,0.0149619,0.012938,1.1564,0.77547,0.63653,0.42534
Species,15,B121,0.0143922,0.014101,1.0207,0.2836,0.73126,0.4459
Species,16,B093,0.0142922,0.014413,0.9916,0.0612,0.77542,0.46631
Species,17,B032,0.0140627,0.012916,1.0888,0.71727,0.05295,0.4864
Species,18,B108,0.0129365,0.016253,0.7959,0.06713,0.63905,0.50488
Species,19,B038,0.012233,0.011088,1.1033,0.56673,0.44858,0.52236
Species,20,B044,0.0108248,0.015137,0.7151,0.59447,0,0.53782
Species,21,B059,0.0105077,0.018822,0.5583,0.2132,0.39863,0.55283
Species,22,B075,0.0104422,0.011711,0.8916,0.39507,0.35205,0.56774
Species,23,B067,0.0100526,0.016293,0.617,0.3098,0.33558,0.5821
Species,24,B118,0.0098335,0.0106,0.9277,0.36387,0.36105,0.59615
Species,25,B050,0.0093567,0.012593,0.743,0.29487,0.32458,0.60951
Species,26,B103,0.0093512,0.016049,0.5827,0,0.48858,0.62287
Species,27,B068,0.008932,0.014201,0.629,0,0.50811,0.63563
Species,28,B007,0.0088095,0.023184,0.38,0,0.43163,0.64821
Species,29,B055,0.0082082,0.01292,0.6353,0.2756,0.19489,0.65994
