Sample,Site,Species,Group,Sex,Repro,RepSex,Indiv,Comp,RT,Area
t18_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B001,2.447,35290005
t57_usmO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B002,2.716,48486882
d19_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B002,2.727,85833019
p28_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B003,2.862,240574191
t17_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B004,3.025,57733836
t57_usmO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B005,3.348,78356069
p68_smO2SO,PW,SOED,SOPW,Male,Non-repro,Non-repro_Male,O2SOPW,B005,3.348,89221137
t38_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B005,3.38,192368765
p32_smP1SO,PW,SOED,SOPW,Female,Reproductive,Repro_Female,P1SOPW,B006,3.567,123008781
t57_usmO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B006,3.575,341372713
t62_smO2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,O2SITZ,B007,4.628,1456465573
t59_smO2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,O2SITZ,B007,4.685,437354127
t44_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B007,4.724,192567050
p53_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B008,5.231,25701699
p67_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B008,5.245,30405734
t17_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B009,5.437,45835949
p66_smJ2SO,PW,SOED,SOPW,Male,Non-repro,Non-repro_Male,J2SOPW,B010,5.461,35112019
t29_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B011,5.49,45063944
d61_smP1SI,DM,SIMP,SIDM,Female,Reproductive,Repro_Female,P1SIDM,B012,6.128,1220432690
t39_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B012,6.128,151359035
t40_smJ1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,J1SITZ,B012,6.128,129433710
